Language	Question	SPARQL
en	Can you share some fan content related to the end of 复仇者联盟4?  	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""复仇者联盟4：终局之战"" .
?story golem:title ?title .
}"
en	Display me fanEchoes from the 复仇者联盟4:终局之战 event.	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""复仇者联盟4：终局之战"" .
?story golem:title ?title .
}"
en	Show me stories from the DaiSuga - Fandom fandom	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""DaiSuga - Fandom"" .
?story golem:title ?title .
}"
en	Can you suggest stories from DaiSuga within the Fandom fandom?  	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""DaiSuga - Fandom"" .
?story golem:title ?title .
}"
en	I want to see stories from DaiSuga - Fandom.  	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""DaiSuga - Fandom"" .
?story golem:title ?title .
}"
en	What are some stories from DaiSuga in the Fandom fandom?  	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""DaiSuga - Fandom"" .
?story golem:title ?title .
}"
en	Can you recommend stories from DaiSuga - Fandom?  	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""DaiSuga - Fandom"" .
?story golem:title ?title .
}"
en	Please show me stories from DaiSuga within the Fandom fandom.	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""DaiSuga - Fandom"" .
?story golem:title ?title .
}"
en	Show me stories from the 卓杨 fandom	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""卓杨"" .
?story golem:title ?title .
}"
en	Show me episodes from the 卓杨 fandom.	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""卓杨"" .
?story golem:title ?title .
}"
en	Can you suggest more volumes from the 卓杨 fandom?	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""卓杨"" .
?story golem:title ?title .
}"
en	What are some chapters in the 卓杨 fandom that I should read?	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""卓杨"" .
?story golem:title ?title .
}"
en	Show me stories from the sildoctor fandom	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""sildoctor"" .
?story golem:title ?title .
}"
en	Show me stories from the 辽 fandom	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""辽"" .
?story golem:title ?title .
}"
en	Show me stories from the Glove Puppetry RPF fandom	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""Glove Puppetry RPF"" .
?story golem:title ?title .
}"
en	Show me stories from the 大宋小吏 — 拉棉花糖的兔子 fandom	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""大宋小吏 — 拉棉花糖的兔子"" .
?story golem:title ?title .
}"
en	Show me stories from 大宋小吏 — 拉棉花糖的兔子 fandom.  	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""大宋小吏 — 拉棉花糖的兔子"" .
?story golem:title ?title .
}"
en	Show me stories from the Kim Namjoon - Fandom fandom	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""Kim Namjoon - Fandom"" .
?story golem:title ?title .
}"
en	Tell me about Kim Namjoon’s fan fiction.  	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""Kim Namjoon - Fandom"" .
?story golem:title ?title .
}"
en	Share stories from Kim Namjoon.  	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""Kim Namjoon - Fandom"" .
?story golem:title ?title .
}"
en	Explore Kim Namjoon’s fictional universe.  	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""Kim Namjoon - Fandom"" .
?story golem:title ?title .
}"
en	Discover works inspired by Kim Namjoon.  	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""Kim Namjoon - Fandom"" .
?story golem:title ?title .
}"
en	Find fan stories featuring Kim Namjoon.	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""Kim Namjoon - Fandom"" .
?story golem:title ?title .
}"
en	Show me stories from the 放逐 fandom	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""放逐"" .
?story golem:title ?title .
}"
en	Show me more fanworks from 放逐.	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""放逐"" .
?story golem:title ?title .
}"
en	Where are the 放逐 stories located?	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""放逐"" .
?story golem:title ?title .
}"
en	Can you share chapters from the 放逐 fandom?	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""放逐"" .
?story golem:title ?title .
}"
en	What's available in 放逐 updates?	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""放逐"" .
?story golem:title ?title .
}"
en	Find me more info about 放逐 fanworks.	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?title
WHERE { 
?story golem:fandom ""放逐"" .
?story golem:title ?title .
}"
en	Is the story The night the world collapsed completed?	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""The night the world collapsed"" .
?story golem:publicationStatus ?status .
}"
en	Is The night the world collapsed a complete story?  	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""The night the world collapsed"" .
?story golem:publicationStatus ?status .
}"
en	Did The night the world collapsed finish?  	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""The night the world collapsed"" .
?story golem:publicationStatus ?status .
}"
en	Is the story The Raven's Cry completed?	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""The Raven's Cry"" .
?story golem:publicationStatus ?status .
}"
en	Is The Raven's Cry done?  	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""The Raven's Cry"" .
?story golem:publicationStatus ?status .
}"
en	Is the story Luna Lovegood and the Chamber of Innocence completed?	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""Luna Lovegood and the Chamber of Innocence"" .
?story golem:publicationStatus ?status .
}"
en	"Is Luna Lovegood's story ""The Chamber of Innocence"" finished?  "	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""Luna Lovegood and the Chamber of Innocence"" .
?story golem:publicationStatus ?status .
}"
en	"Has the story about Luna Lovegood in ""Chamber of Innocence"" been concluded?  "	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""Luna Lovegood and the Chamber of Innocence"" .
?story golem:publicationStatus ?status .
}"
en	"Is ""Luna Lovegood and the Chamber of Innocence"" a complete story?  "	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""Luna Lovegood and the Chamber of Innocence"" .
?story golem:publicationStatus ?status .
}"
en	"Did Luna Lovegood finish writing ""The Chamber of Innocence""?  "	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""Luna Lovegood and the Chamber of Innocence"" .
?story golem:publicationStatus ?status .
}"
en	"Has the tale in ""Luna Lovegood and the Chamber of Innocence"" been completed?"	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""Luna Lovegood and the Chamber of Innocence"" .
?story golem:publicationStatus ?status .
}"
en	Is the story Life problems are best served with a cup of tea completed?	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""Life problems are best served with a cup of tea"" .
?story golem:publicationStatus ?status .
}"
en	Is Life problems best served with tea completed?  	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""Life problems are best served with a cup of tea"" .
?story golem:publicationStatus ?status .
}"
en	Did the story Life problems are best helped by tea get finished?  	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""Life problems are best served with a cup of tea"" .
?story golem:publicationStatus ?status .
}"
en	Is the tea helpful in solving Life problems? The story is completed.  	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""Life problems are best served with a cup of tea"" .
?story golem:publicationStatus ?status .
}"
en	Has the book about Life problems been concluded with a cup of tea?  	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""Life problems are best served with a cup of tea"" .
?story golem:publicationStatus ?status .
}"
en	Did a cup of tea finish the story on Life problems?	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""Life problems are best served with a cup of tea"" .
?story golem:publicationStatus ?status .
}"
en	Is the story The good, the bad, and the things that should have happened but didn't completed?	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""The good, the bad, and the things that should have happened but didn't"" .
?story golem:publicationStatus ?status .
}"
en	```plaintext	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""The good, the bad, and the things that should have happened but didn't"" .
?story golem:publicationStatus ?status .
}"
en	Is the story titled The good, bad, and what was supposed to happen but didn't complete?	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""The good, the bad, and the things that should have happened but didn't"" .
?story golem:publicationStatus ?status .
}"
en	Is the story about The good, the bad, and things that were meant to occur but didn't finish?	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""The good, the bad, and the things that should have happened but didn't"" .
?story golem:publicationStatus ?status .
}"
en	Is the story named The good, bad, and events that should have happened but weren't completed?	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""The good, the bad, and the things that should have happened but didn't"" .
?story golem:publicationStatus ?status .
}"
en	Is the story called The good, bad, and what was intended to take place but didn't finish?	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""The good, the bad, and the things that should have happened but didn't"" .
?story golem:publicationStatus ?status .
}"
en	Is the story titled The good, bad, and things that were supposed to happen but didn't complete?	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""The good, the bad, and the things that should have happened but didn't"" .
?story golem:publicationStatus ?status .
}"
en	Is the story Turning it Around completed?	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""Turning it Around"" .
?story golem:publicationStatus ?status .
}"
en	Is the story Hermione meets the Burrow completed?	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""Hermione meets the Burrow"" .
?story golem:publicationStatus ?status .
}"
en	Has Hermione met the Burrow's story finished?  	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""Hermione meets the Burrow"" .
?story golem:publicationStatus ?status .
}"
en	Does Hermione meet the Burrow yet in this story?  	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""Hermione meets the Burrow"" .
?story golem:publicationStatus ?status .
}"
en	Will Hermione meet the Burrow's story done?  	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""Hermione meets the Burrow"" .
?story golem:publicationStatus ?status .
}"
en	Has the story Hermione meets the Burrow ended?  	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""Hermione meets the Burrow"" .
?story golem:publicationStatus ?status .
}"
en	Does the story of Hermione meeting the Burrow finish?	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""Hermione meets the Burrow"" .
?story golem:publicationStatus ?status .
}"
en	Is the story Cure completed?	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""Cure"" .
?story golem:publicationStatus ?status .
}"
en	"Is the story ""Cure"" finished?  "	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""Cure"" .
?story golem:publicationStatus ?status .
}"
en	"Has the story titled ""Cure"" been concluded?  "	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""Cure"" .
?story golem:publicationStatus ?status .
}"
en	"Is ""Cure"" done yet?  "	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""Cure"" .
?story golem:publicationStatus ?status .
}"
en	"Did they finish the story called ""Cure""?  "	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""Cure"" .
?story golem:publicationStatus ?status .
}"
en	"Has the story ""Cure"" been completed?"	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""Cure"" .
?story golem:publicationStatus ?status .
}"
en	Is the story The Help completed?	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""The Help"" .
?story golem:publicationStatus ?status .
}"
en	"Has the story ""The Help"" been finished?  "	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""The Help"" .
?story golem:publicationStatus ?status .
}"
en	Is the narrative called The Help now done?  	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""The Help"" .
?story golem:publicationStatus ?status .
}"
en	"Did ""The Help"" finally get concluded?  "	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""The Help"" .
?story golem:publicationStatus ?status .
}"
en	Is the tale known as The Help accomplished?  	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""The Help"" .
?story golem:publicationStatus ?status .
}"
en	"Has ""The Help"" finally been concluded?"	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""The Help"" .
?story golem:publicationStatus ?status .
}"
en	Is the story A heart connection completed?	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""A heart connection"" .
?story golem:publicationStatus ?status .
}"
en	"Is this story called ""A heart connection completed""?"	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""A heart connection"" .
?story golem:publicationStatus ?status .
}"
en	"What's the title of the story ""A heart connection completed""?"	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""A heart connection"" .
?story golem:publicationStatus ?status .
}"
en	"Does the story ""A heart connection completed"" have a specific title?"	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""A heart connection"" .
?story golem:publicationStatus ?status .
}"
en	"""'A heart connection completed' is the title of what story?"""	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""A heart connection"" .
?story golem:publicationStatus ?status .
}"
en	"What's the name of the story ""A heart connection completed""?"	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?status
WHERE { 
?story golem:title ""A heart connection"" .
?story golem:publicationStatus ?status .
}"
en	When was Codeword: Christmas Socks published?	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?date
WHERE { 
?story golem:title ""Codeword: Christmas Socks"" .
?story golem:datePublished ?date .
}"
en	# What was the release year of Codeword: Christmas Socks?  	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?date
WHERE { 
?story golem:title ""Codeword: Christmas Socks"" .
?story golem:datePublished ?date .
}"
en	# When did Codeword: Christmas Socks get published?  	"prefix golem: <https://golemlab.eu/graph/> 
prefix dc: <http://purl.org/dc/terms/>
prefix gc: <https://ontology.golemlab.eu/>

SELECT DISTINCT ?date
WHERE { 
?story golem:title ""Codeword: Christmas Socks"" .
?story golem:datePublished ?date .
}"
