Language	Question	SPARQL
en	Show me all the stories from the All27 - Fandom universe	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?title  WHERE {  ?story golem:fandom ""All27 - Fandom"" . ?story golem:title ?title . }"
en	Show me all the stories from the KenshiYonezu - Fandom universe	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?title  WHERE {  ?story golem:fandom ""KenshiYonezu - Fandom"" . ?story golem:title ?title . }"
en	Show me all the stories from the William tingting universe	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?title  WHERE {  ?story golem:fandom ""William tingting"" . ?story golem:title ?title . }"
en	Show me all the stories from the Yuè Cháo (2013) universe	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?title  WHERE {  ?story golem:fandom ""Yuè Cháo (2013)"" . ?story golem:title ?title . }"
en	Show me all the stories from the 锦绣缘华丽冒险 universe	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?title  WHERE {  ?story golem:fandom ""锦绣缘华丽冒险"" . ?story golem:title ?title . }"
en	Show me all the stories from the The Daughter of Time universe	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?title  WHERE {  ?story golem:fandom ""The Daughter of Time"" . ?story golem:title ?title . }"
en	Show me all the stories from the 王国 universe	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?title  WHERE {  ?story golem:fandom ""王国"" . ?story golem:title ?title . }"
en	Show me all the stories from the FAINALFANTASYXIV universe	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?title  WHERE {  ?story golem:fandom ""FAINALFANTASYXIV"" . ?story golem:title ?title . }"
en	Show me all the stories from the 夜叉 Yaksha universe	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?title  WHERE {  ?story golem:fandom ""夜叉 Yaksha"" . ?story golem:title ?title . }"
en	Is the story The night the world collapsed completed?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?status WHERE {  ?story golem:title ""The night the world collapsed"" . ?story golem:publicationStatus ?status . }"
en	Is the story The Raven's Cry completed?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?status WHERE {  ?story golem:title ""The Raven's Cry"" . ?story golem:publicationStatus ?status . }"
en	Is the story Luna Lovegood and the Chamber of Innocence completed?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?status WHERE {  ?story golem:title ""Luna Lovegood and the Chamber of Innocence"" . ?story golem:publicationStatus ?status . }"
en	Is the story Life problems are best served with a cup of tea completed?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?status WHERE {  ?story golem:title ""Life problems are best served with a cup of tea"" . ?story golem:publicationStatus ?status . }"
en	Is the story The good, the bad, and the things that should have happened but didn't completed?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?status WHERE {  ?story golem:title ""The good, the bad, and the things that should have happened but didn't"" . ?story golem:publicationStatus ?status . }"
en	Is the story Turning it Around completed?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?status WHERE {  ?story golem:title ""Turning it Around"" . ?story golem:publicationStatus ?status . }"
en	Is the story Hermione meets the Burrow completed?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?status WHERE {  ?story golem:title ""Hermione meets the Burrow"" . ?story golem:publicationStatus ?status . }"
en	Is the story Cure completed?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?status WHERE {  ?story golem:title ""Cure"" . ?story golem:publicationStatus ?status . }"
en	Is the story The Help completed?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?status WHERE {  ?story golem:title ""The Help"" . ?story golem:publicationStatus ?status . }"
en	Is the story A heart connection completed?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?status WHERE {  ?story golem:title ""A heart connection"" . ?story golem:publicationStatus ?status . }"
en	When was Codeword: Christmas Socks published?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?date WHERE {  ?story golem:title ""Codeword: Christmas Socks"" . ?story golem:datePublished ?date . }"
en	When was Rump Roast (by enchanted_jae) published?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?date WHERE {  ?story golem:title ""Rump Roast (by enchanted_jae)"" . ?story golem:datePublished ?date . }"
en	When was crave published?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?date WHERE {  ?story golem:title ""crave"" . ?story golem:datePublished ?date . }"
en	When was You Caused Me Pain (So I Did The Same) published?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?date WHERE {  ?story golem:title ""You Caused Me Pain (So I Did The Same)"" . ?story golem:datePublished ?date . }"
en	When was Oh To Be Lonely at Christmas published?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?date WHERE {  ?story golem:title ""Oh To Be Lonely at Christmas"" . ?story golem:datePublished ?date . }"
en	When was Those Dead Eyes (Harry Potter) published?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?date WHERE {  ?story golem:title ""Those Dead Eyes (Harry Potter)"" . ?story golem:datePublished ?date . }"
en	When was I Just Want... published?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?date WHERE {  ?story golem:title ""I Just Want..."" . ?story golem:datePublished ?date . }"
en	When was Tea and a Biscuit published?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?date WHERE {  ?story golem:title ""Tea and a Biscuit"" . ?story golem:datePublished ?date . }"
en	When was grab the kitchen scissors published?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?date WHERE {  ?story golem:title ""grab the kitchen scissors"" . ?story golem:datePublished ?date . }"
en	When was It Takes A Little Mistletoe published?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?date WHERE {  ?story golem:title ""It Takes A Little Mistletoe"" . ?story golem:datePublished ?date . }"
en	What is the most recently uploaded story?	prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?title WHERE {  ?story golem:datePublished ?date . ?story golem:title ?title . } ORDER BY DESC(?date) LIMIT 1
en	What stories were posted in 2015?	prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?title WHERE {  ?story golem:datePublished ?date . ?story golem:title ?title . FILTER(YEAR(xsd:datetime(?date))=2015) . }
en	What are the keywords of That Secret We Never Knew?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT  (GROUP_CONCAT(DISTINCT ?keyword; separator="", "") AS ?keywords ) WHERE {  ?story golem:title ""That Secret We Never Knew"" . ?story golem:keyword ?keyword . }"
en	What are the keywords of Davina Claire and the Mikaelson wizard?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT  (GROUP_CONCAT(DISTINCT ?keyword; separator="", "") AS ?keywords ) WHERE {  ?story golem:title ""Davina Claire and the Mikaelson wizard"" . ?story golem:keyword ?keyword . }"
en	What are the keywords of Surviving Together?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT  (GROUP_CONCAT(DISTINCT ?keyword; separator="", "") AS ?keywords ) WHERE {  ?story golem:title ""Surviving Together"" . ?story golem:keyword ?keyword . }"
en	What are the keywords of Doll Parts?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT  (GROUP_CONCAT(DISTINCT ?keyword; separator="", "") AS ?keywords ) WHERE {  ?story golem:title ""Doll Parts"" . ?story golem:keyword ?keyword . }"
en	What are the keywords of Late Bloomer?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT  (GROUP_CONCAT(DISTINCT ?keyword; separator="", "") AS ?keywords ) WHERE {  ?story golem:title ""Late Bloomer"" . ?story golem:keyword ?keyword . }"
en	What are the keywords of Tequila Sunrise?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT  (GROUP_CONCAT(DISTINCT ?keyword; separator="", "") AS ?keywords ) WHERE {  ?story golem:title ""Tequila Sunrise"" . ?story golem:keyword ?keyword . }"
en	What are the keywords of It never entered my mind?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT  (GROUP_CONCAT(DISTINCT ?keyword; separator="", "") AS ?keywords ) WHERE {  ?story golem:title ""It never entered my mind"" . ?story golem:keyword ?keyword . }"
en	What are the keywords of All was right?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT  (GROUP_CONCAT(DISTINCT ?keyword; separator="", "") AS ?keywords ) WHERE {  ?story golem:title ""All was right"" . ?story golem:keyword ?keyword . }"
en	What are the keywords of Not your greatest virtue?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT  (GROUP_CONCAT(DISTINCT ?keyword; separator="", "") AS ?keywords ) WHERE {  ?story golem:title ""Not your greatest virtue"" . ?story golem:keyword ?keyword . }"
en	What are the keywords of This Town Is Only Gonna Get Worse?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT  (GROUP_CONCAT(DISTINCT ?keyword; separator="", "") AS ?keywords ) WHERE {  ?story golem:title ""This Town Is Only Gonna Get Worse"" . ?story golem:keyword ?keyword . }"
en	How many chapters does Prologue have?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?chapters WHERE {  ?story golem:title ""Prologue"" . ?story golem:numberOfChapters ?chapters . }"
en	How many chapters does The Dark Phoenix Spies have?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?chapters WHERE {  ?story golem:title ""The Dark Phoenix Spies"" . ?story golem:numberOfChapters ?chapters . }"
en	How many chapters does Interlude: Nothing But Memory have?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?chapters WHERE {  ?story golem:title ""Interlude: Nothing But Memory"" . ?story golem:numberOfChapters ?chapters . }"
en	How many chapters does Resolutions Worth Keeping have?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?chapters WHERE {  ?story golem:title ""Resolutions Worth Keeping"" . ?story golem:numberOfChapters ?chapters . }"
en	How many chapters does Guardian of Hogwarts have?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?chapters WHERE {  ?story golem:title ""Guardian of Hogwarts"" . ?story golem:numberOfChapters ?chapters . }"
en	How many chapters does What the Future Holds have?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?chapters WHERE {  ?story golem:title ""What the Future Holds"" . ?story golem:numberOfChapters ?chapters . }"
en	How many chapters does Molten Silver have?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?chapters WHERE {  ?story golem:title ""Molten Silver"" . ?story golem:numberOfChapters ?chapters . }"
en	How many chapters does A Series of Events, both Fortunate and Unfortunate have?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?chapters WHERE {  ?story golem:title ""A Series of Events, both Fortunate and Unfortunate"" . ?story golem:numberOfChapters ?chapters . }"
en	How many chapters does Twilight Magic/Black Family have?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?chapters WHERE {  ?story golem:title ""Twilight Magic/Black Family"" . ?story golem:numberOfChapters ?chapters . }"
en	How many chapters does The Death of Me have?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?chapters WHERE {  ?story golem:title ""The Death of Me"" . ?story golem:numberOfChapters ?chapters . }"
en	What is the content rating for the story [ART] Alleviate?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?rating WHERE {  ?story golem:title ""[ART] Alleviate"" . ?story golem:rating ?rating . }"
en	What is the content rating for the story Slightly to the Left?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?rating WHERE {  ?story golem:title ""Slightly to the Left"" . ?story golem:rating ?rating . }"
en	What is the content rating for the story A Nice Girl?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?rating WHERE {  ?story golem:title ""A Nice Girl"" . ?story golem:rating ?rating . }"
en	What is the content rating for the story Knight of Wands?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?rating WHERE {  ?story golem:title ""Knight of Wands"" . ?story golem:rating ?rating . }"
en	What is the content rating for the story Children Will Listen?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?rating WHERE {  ?story golem:title ""Children Will Listen"" . ?story golem:rating ?rating . }"
en	What is the content rating for the story There are no Children in the Wars of Our Fathers.?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?rating WHERE {  ?story golem:title ""There are no Children in the Wars of Our Fathers."" . ?story golem:rating ?rating . }"
en	What is the content rating for the story Cowardly Cornelius?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?rating WHERE {  ?story golem:title ""Cowardly Cornelius"" . ?story golem:rating ?rating . }"
en	What is the content rating for the story Bad Impressions?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?rating WHERE {  ?story golem:title ""Bad Impressions"" . ?story golem:rating ?rating . }"
en	What is the content rating for the story Green & Gold?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?rating WHERE {  ?story golem:title ""Green & Gold"" . ?story golem:rating ?rating . }"
en	What is the content rating for the story The Twins go to Hogwarts?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?rating WHERE {  ?story golem:title ""The Twins go to Hogwarts"" . ?story golem:rating ?rating . }"
en	How long is Pick Your Poison - Book One?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?chapters ?words WHERE {  ?story golem:title ""Pick Your Poison - Book One"" . ?story golem:numberOfChapters ?chapters . ?story golem:numberOfWords ?words . }"
en	How long is Death Lover?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?chapters ?words WHERE {  ?story golem:title ""Death Lover"" . ?story golem:numberOfChapters ?chapters . ?story golem:numberOfWords ?words . }"
en	How long is The Universe Has Different Plans?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?chapters ?words WHERE {  ?story golem:title ""The Universe Has Different Plans"" . ?story golem:numberOfChapters ?chapters . ?story golem:numberOfWords ?words . }"
en	How long is Will You Stay with Me??	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?chapters ?words WHERE {  ?story golem:title ""Will You Stay with Me?"" . ?story golem:numberOfChapters ?chapters . ?story golem:numberOfWords ?words . }"
en	How long is Leather Jackets and Rainbows?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?chapters ?words WHERE {  ?story golem:title ""Leather Jackets and Rainbows"" . ?story golem:numberOfChapters ?chapters . ?story golem:numberOfWords ?words . }"
en	How long is Wonder and Fright and Nothing that Nice?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?chapters ?words WHERE {  ?story golem:title ""Wonder and Fright and Nothing that Nice"" . ?story golem:numberOfChapters ?chapters . ?story golem:numberOfWords ?words . }"
en	How long is We're What?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?chapters ?words WHERE {  ?story golem:title ""We're What"" . ?story golem:numberOfChapters ?chapters . ?story golem:numberOfWords ?words . }"
en	How long is A smile is worth everything?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?chapters ?words WHERE {  ?story golem:title ""A smile is worth everything"" . ?story golem:numberOfChapters ?chapters . ?story golem:numberOfWords ?words . }"
en	How long is Observing Happiness?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?chapters ?words WHERE {  ?story golem:title ""Observing Happiness"" . ?story golem:numberOfChapters ?chapters . ?story golem:numberOfWords ?words . }"
en	How long is Welcome to the Family?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?chapters ?words WHERE {  ?story golem:title ""Welcome to the Family"" . ?story golem:numberOfChapters ?chapters . ?story golem:numberOfWords ?words . }"
en	Does A Whore in the Bedroom have any content warnings?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT (GROUP_CONCAT(DISTINCT ?warning; separator="", "") AS ?warnings) WHERE {  ?story golem:title ""A Whore in the Bedroom"" . ?story golem:contentWarning ?warning . }"
en	Does Laughing at Death have any content warnings?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT (GROUP_CONCAT(DISTINCT ?warning; separator="", "") AS ?warnings) WHERE {  ?story golem:title ""Laughing at Death"" . ?story golem:contentWarning ?warning . }"
en	"Does "" I HATE YOU OLIVER WOOD! "" have any content warnings?"	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT (GROUP_CONCAT(DISTINCT ?warning; separator="", "") AS ?warnings) WHERE {  ?story golem:title "" I HATE YOU OLIVER WOOD! "" . ?story golem:contentWarning ?warning . }"
en	Does How Can I Live Without You? have any content warnings?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT (GROUP_CONCAT(DISTINCT ?warning; separator="", "") AS ?warnings) WHERE {  ?story golem:title ""How Can I Live Without You?"" . ?story golem:contentWarning ?warning . }"
en	Does Interrupted Sleep have any content warnings?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT (GROUP_CONCAT(DISTINCT ?warning; separator="", "") AS ?warnings) WHERE {  ?story golem:title ""Interrupted Sleep"" . ?story golem:contentWarning ?warning . }"
en	Does I Was a Teenage Were-Goat have any content warnings?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT (GROUP_CONCAT(DISTINCT ?warning; separator="", "") AS ?warnings) WHERE {  ?story golem:title ""I Was a Teenage Were-Goat"" . ?story golem:contentWarning ?warning . }"
en	Does Late Night Cravings have any content warnings?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT (GROUP_CONCAT(DISTINCT ?warning; separator="", "") AS ?warnings) WHERE {  ?story golem:title ""Late Night Cravings"" . ?story golem:contentWarning ?warning . }"
